chr	b.nr	posrough	pos.start	pos.end	SNP.nr	meanSFA	meanSFApos	meanCor	7500	7500Cor	5500	5500Cor	3500	3500Cor	genes
1	1	(7.53e+05,5.75e+06]	752566	5752566	2038	12.5787885834475	25.8023106546855	0.142740361410376	19.4548872180451	0.208912952483306	33.0827067669173	0.111025140623497	15.4135338345865	0.0964655029182751	AL645608.2, SAMD11, AL645608.1, NOC2L, KLHL17, PLEKHN1, C1orf170, HES4, ISG15, AGRN, RNF223, C1orf159, TTLL10, TNFRSF18, TNFRSF4, SDF4, B3GALT6, FAM132A, UBE2J2, SCNN1D, ACAP3, PUSL1, CPSF3L, GLTPD1, TAS1R3, DVL1, MXRA8, AURKAIP1, CCNL2, RP4-758J18.2, MRPL20, ANKRD65, TMEM88B, VWA1, ATAD3C, ATAD3B, ATAD3A, TMEM240, SSU72, AL645728.1, C1orf233, MIB2, MMP23B, CDK11B, SLC35E2B, CDK11A, SLC35E2, NADK, GNB1, CALML6, TMEM52, C1orf222, GABRD, PRKCZ, C1orf86, AL590822.2, AL590822.1, SKI, MORN1, AL589739.1, RER1, PEX10, PLCH2, PANK4, HES5, TNFRSF14, FAM213B, MMEL1, TTC34, ACTRT2, PRDM16, ARHGEF16, MEGF6, TPRG1L, WRAP73, TP73, CCDC27, SMIM1, LRRC47, CEP104, DFFB, C1orf174, AJAP1
1	2	(5.75e+06,1.08e+07]	5752566	10752566	1782	23.036448111647	46.4171098477902	0.0932421486478064	78.0075187969925	0.16977497631029	13.6278195488722	0.0637797916100899	67.1992481203008	0.0366935955868378	NPHP4, KCNAB2, AL035406.1, CHD5, RPL22, RNF207, ICMT, HES3, GPR153, ACOT7, HES2, ESPN, TNFRSF25, PLEKHG5, NOL9, TAS1R1, ZBTB48, KLHL21, PHF13, THAP3, DNAJC11, CAMTA1, VAMP3, PER3, UTS2, TNFRSF9, PARK7, ERRFI1, SLC45A1, RERE, ENO1, CA6, SLC2A7, SLC2A5, GPR157, H6PD, SPSB1, SLC25A33, TMEM201, PIK3CD, C1orf200, CLSTN1, CTNNBIP1, LZIC, NMNAT1, RBP7, UBE4B, KIF1B, PGD, APITD1, APITD1-CORT, CORT, DFFA, PEX14, CASZ1
1	3	(1.08e+07,1.58e+07]	10752566	15752566	1998	23.0857766943272	38.6622042912158	0.106897309990161	30.2631578947368	0.110023469562706	37.8759398496241	0.100895877362211	54.0413533834586	0.0560421066150082	CASZ1, C1orf127, TARDBP, MASP2, SRM, EXOSC10, MTOR, ANGPTL7, UBIAD1, PTCHD2, FBXO2, FBXO44, FBXO6, MAD2L2, DRAXIN, AGTRAP, C1orf167, MTHFR, CLCN6, NPPA, NPPB, KIAA2013, PLOD1, MFN2, MIIP, TNFRSF8, TNFRSF1B, VPS13D, DHRS3, AADACL4, AADACL3, C1orf158, PRAMEF12, PRAMEF1, PRAMEF11, HNRNPCL1, PRAMEF2, PRAMEF4, PRAMEF10, PRAMEF7, PRAMEF6, PRAMEF22, WI2-3308P17.2, PRAMEF26, PRAMEF3, PRAMEF5, PRAMEF8, PRAMEF9, PRAMEF13, PRAMEF18, PRAMEF16, PRAMEF21, PRAMEF15, PRAMEF14, PRAMEF19, PRAMEF17, PRAMEF20, LRRC38, PDPN, PRDM2, KAZN, TMEM51, C1orf195, FHAD1, EFHD2
1	4	(1.58e+07,2.08e+07]	15752566	20752566	2237	37.6870371676624	63.6576196589034	0.0792517171131032	37.687969924812	0.143195050091602	80.4511278195489	0.0532602607700765	64.3796992481203	0.0780628111338028	EFHD2, CTRC, CELA2A, CELA2B, CASP9, DNAJC16, AGMAT, DDI2, RSC1A1, PLEKHM2, SLC25A34, TMEM82, FBLIM1, SPEN, ZBTB17, C1orf64, HSPB7, CLCNKA, CLCNKB, FAM131C, EPHA2, ARHGEF19, C1orf134, RSG1, FBXO42, SZRD1, SPATA21, NECAP2, FAM231B, NBPF1, FAM231A, FAM231C, CROCC, MFAP2, ATP13A2, SDHB, PADI2, PADI1, PADI3, PADI4, AC004824.2, RCC2, ARHGEF10L, ACTL8, IGSF21, KLHDC7A, PAX7, TAS1R2, RP13-279N23.2, ALDH4A1, IFFO2, UBR4, EMC1, MRTO4, AKR7A3, AKR7A2, PQLC2, CAPZB, MINOS1-NBL1, MINOS1, NBL1, HTR6, TMCO4, RNF186, OTUD3, PLA2G2E, PLA2G2A, PLA2G5, PLA2G2D, PLA2G2F, PLA2G2C, UBXN10, VWA5B1
1	5	(2.08e+07,2.58e+07]	20752566	25752566	1869	24.4916413007125	51.1667889235283	0.0987249641182247	75.281954887218	0.159705228908508	56.390977443609	0.071001389296489	15.4135338345865	0.0518627230383736	CAMK2N1, MUL1, FAM43B, CDA, PINK1, DDOST, KIF17, SH2D5, HP1BP3, EIF4G3, ECE1, NBPF3, ALPL, RAP1GAP, USP48, LDLRAD2, HSPG2, CELA3B, CELA3A, CDC42, WNT4, ZBTB40, EPHA8, C1QA, C1QC, C1QB, EPHB2, LACTBL1, C1orf234, KDM1A, LUZP1, HTR1D, HNRNPR, ZNF436, C1orf213, TCEA3, ASAP3, E2F2, ID3, MDS2, RPL11, TCEB3, PITHD1, LYPLA2, GALE, HMGCL, FUCA1, CNR2, PNRC2, SRSF10, MYOM3, IL22RA1, IFNLR1, GRHL3, STPG1, NIPAL3, RCAN3, NCMAP, SRRM1, CLIC4, RUNX3, SYF2, C1orf63, RHD, TMEM50A, RHCE
1	6	(2.58e+07,3.08e+07]	25752566	30752566	1461	48.5393253573034	72.9346231432239	0.04990581393507	5.45112781954887	0.0274227890290724	56.390977443609	0.0362758729091156	48.1203007518797	0.0827015803647916	RHCE, TMEM57, LDLRAP1, MAN1C1, SEPN1, RP1-317E23.6, MTFR1L, AL020996.1, AUNIP, PAQR7, STMN1, PAFAH2, EXTL1, SLC30A2, TRIM63, PDIK1L, FAM110D, ZNF593, CNKSR1, CATSPER4, CEP85, SH3BGRL3, UBXN11, CD52, AIM1L, ZNF683, LIN28A, DHDDS, HMGN2, RPS6KA1, ARID1A, PIGV, ZDHHC18, SFN, GPN2, GPATCH3, NUDC, NR0B2, C1orf172, TRNP1, FAM46B, SLC9A1, WDTC1, TMEM222, SYTL1, MAP3K6, FCN3, CD164L2, GPR3, WASF2, AHDC1, FGR, IFI6, FAM76A, STX12, PPP1R8, AL109927.1, THEMIS2, RPA2, SMPDL3B, XKR8, EYA3, PTAFR, DNAJC8, AL353354.1, AL353354.2, ATPIF1, SESN2, MED18, PHACTR4, RCC1, TRNAU1AP, TAF12, RAB42, GMEB1, YTHDF2, OPRD1, EPB41, TMEM200B, SRSF4, MECR, PTPRU
1	7	(3.08e+07,3.58e+07]	30752566	35752566	1877	12.5294600007673	27.0768384375573	0.119403164356216	60.9022556390977	0.185448186137158	10.6203007518797	0.0867177416493598	15.4135338345865	0.0587173433178039	MATN1, LAPTM5, SDC3, PUM1, NKAIN1, SNRNP40, ZCCHC17, FABP3, SERINC2, AC114494.1, TINAGL1, HCRTR1, PEF1, COL16A1, BAI2, SPOCD1, PTP4A2, AL136115.1, KHDRBS1, TMEM39B, KPNA6, TXLNA, CCDC28B, IQCC, DCDC2B, TMEM234, EIF3I, FAM167B, LCK, HDAC1, MARCKSL1, TSSK3, FAM229A, BSDC1, RP1-27O5.3, ZBTB8B, ZBTB8A, ZBTB8OS, RBBP4, SYNC, KIAA1522, YARS, S100PBP, FNDC5, HPCA, TMEM54, RNF19B, FKSG48, AK2, ADC, TRIM62, ZNF362, A3GALT2, PHC2, ZSCAN20, CSMD2, HMGB4, C1orf94, SMIM12, GJB5, GJB4, GJB3, GJA4, DLGAP3, RP11-244H3.4, ZMYM6NB, ZMYM6, ZMYM1, SFPQ, ZMYM4
1	8	(3.58e+07,4.08e+07]	35752566	40752566	1694	33.3707861831461	57.5210893086374	0.094060721573148	80.5451127819549	0.0897996202267857	82.3308270676692	0.0948996037044316	68.796992481203	0.067799928101974	ZMYM4, KIAA0319L, NCDN, TFAP2E, PSMB2, C1orf216, CLSPN, AGO4, AGO1, AGO3, TEKT2, ADPRHL2, COL8A2, TRAPPC3, MAP7D1, THRAP3, SH3D21, EVA1B, RP11-268J15.5, STK40, LSM10, OSCP1, MRPS15, CSF3R, GRIK3, ZC3H12A, MEAF6, SNIP1, DNALI1, GNL2, RSPO1, C1orf109, CDCA8, EPHA10, MANEAL, YRDC, C1orf122, MTF1, AL929472.1, INPP5B, SF3A3, FHL3, UTP11L, POU3F1, RRAGC, MYCBP, GJA9, RHBDL2, AKIRIN1, NDUFS5, MACF1, KIAA0754, BMP8A, PABPC4, HEYL, NT5C1A, HPCAL4, PPIE, BMP8B, OXCT2, TRIT1, MYCL, MFSD2A, CAP1, PPT1, RLF, TMCO2, ZMPSTE24
1	9	(4.08e+07,4.58e+07]	40752566	45752566	1697	23.4310767730885	46.5706950302586	0.0527943794822689	35.0563909774436	0.122222050143883	14.8496240601504	0.0206731750718917	88.3458646616541	0.0149636977243444	ZMPSTE24, COL9A2, SMAP2, ZFP69B, ZFP69, EXO5, ZNF684, RIMS3, NFYC, KCNQ4, CITED4, CTPS1, SLFNL1, SCMH1, FOXO6, EDN2, HIVEP3, GUCA2B, GUCA2A, FOXJ3, RIMKLA, ZMYND12, PPCS, CCDC30, PPIH, YBX1, CLDN19, LEPRE1, C1orf50, CCDC23, ERMAP, ZNF691, SLC2A1, FAM183A, EBNA1BP2, WDR65, TMEM125, C1orf210, TIE1, MPL, CDC20, ELOVL1, MED8, SZT2, HYI, PTPRF, KDM4A, ST3GAL3, ARTN, IPO13, DPH2, ATP6V0B, B4GALT2, CCDC24, SLC6A9, KLF17, DMAP1, ERI3, RNF220, TMEM53, C1orf228, KIF2C, RPS8, BEST4, PLK3, TCTEX1D4, BTBD19, PTCH2, EIF2B3, HECTD3, UROD, ZSWIM5
1	10	(4.58e+07,5.08e+07]	45752566	50752566	1431	22.247190788764	38.4260957271227	0.0699843394627589	56.015037593985	0.118847163964028	9.3984962406015	0.0451607885385939	96.2406015037594	0.00714665633786126	ZSWIM5, HPDL, MUTYH, TOE1, TESK2, CCDC163P, MMACHC, PRDX1, AKR1A1, NASP, CCDC17, GPBP1L1, TMEM69, IPP, MAST2, PIK3R3, TSPAN1, POMGNT1, LURAP1, RAD54L, LRRC41, UQCRH, NSUN4, FAAH, DMBX1, KNCN, MKNK1, MOB3C, ATPAF1, EFCAB14, TEX38, CYP4B1, CYP4A11, CYP4X1, CYP4Z1, CYP4A22, PDZK1IP1, TAL1, STIL, CMPK1, FOXE3, FOXD2, TRABD2B, FLJ00388, AL109659.1, SLC5A9, SPATA6, AGBL4, BEND5, AL645730.2, ELAVL4
